Detalhamento,Data,
Total,2025-12-17T00:00:00.000Z,0
Total,2025-12-18T00:00:00.000Z,4
Total,2025-12-19T00:00:00.000Z,0
Total,2025-12-20T00:00:00.000Z,0
Total,2025-12-21T00:00:00.000Z,7
Total,2025-12-22T00:00:00.000Z,4
Total,2025-12-23T00:00:00.000Z,0
Total,2025-12-24T00:00:00.000Z,0
Total,2025-12-25T00:00:00.000Z,11
Total,2025-12-26T00:00:00.000Z,4
Total,2025-12-27T00:00:00.000Z,4
Total,2025-12-28T00:00:00.000Z,8
Total,2025-12-29T00:00:00.000Z,4
Total,2025-12-30T00:00:00.000Z,7
Total,2025-12-31T00:00:00.000Z,0
Total,2026-01-01T00:00:00.000Z,11
Total,2026-01-02T00:00:00.000Z,11
Total,2026-01-03T00:00:00.000Z,20
Total,2026-01-04T00:00:00.000Z,3
Total,2026-01-05T00:00:00.000Z,3
Total,2026-01-06T00:00:00.000Z,8
Total,2026-01-07T00:00:00.000Z,12
Total,2026-01-08T00:00:00.000Z,0
Total,2026-01-09T00:00:00.000Z,8
Total,2026-01-10T00:00:00.000Z,8
Total,2026-01-11T00:00:00.000Z,0
Total,2026-01-12T00:00:00.000Z,4
Total,2026-01-13T00:00:00.000Z,0
Total,2026-01-14T00:00:00.000Z,8
Total,2026-01-15T00:00:00.000Z,0
Total,2026-01-16T00:00:00.000Z,3
Total,2026-01-17T00:00:00.000Z,0
Total,2026-01-18T00:00:00.000Z,4
Total,2026-01-19T00:00:00.000Z,3
Total,2026-01-20T00:00:00.000Z,12
Total,2026-01-21T00:00:00.000Z,0
Total,2026-01-22T00:00:00.000Z,0
Total,2026-01-23T00:00:00.000Z,0
Total,2026-01-24T00:00:00.000Z,4
Total,2026-01-25T00:00:00.000Z,0
Total,2026-01-26T00:00:00.000Z,0
Total,2026-01-27T00:00:00.000Z,0
Total,2026-01-28T00:00:00.000Z,0
Total,2026-01-29T00:00:00.000Z,8
Total,2026-01-30T00:00:00.000Z,0
Total,2026-01-31T00:00:00.000Z,12
Total,2026-02-01T00:00:00.000Z,16
Total,2026-02-02T00:00:00.000Z,11
Total,2026-02-03T00:00:00.000Z,8
Total,2026-02-04T00:00:00.000Z,7
Total,2026-02-05T00:00:00.000Z,12
Total,2026-02-06T00:00:00.000Z,12
Total,2026-02-07T00:00:00.000Z,4
Total,2026-02-08T00:00:00.000Z,4
Total,2026-02-09T00:00:00.000Z,10
Total,2026-02-10T00:00:00.000Z,0
Total,2026-02-11T00:00:00.000Z,44
Total,2026-02-12T00:00:00.000Z,48
Total,2026-02-13T00:00:00.000Z,4
